1970-01-01 00:11:23 install libgssrpc4:armhf <none> 1.12+dfsg-2ubuntu4
1970-01-01 00:11:23 status half-installed libgssrpc4:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:23 status unpacked libgssrpc4:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:23 status unpacked libgssrpc4:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:23 install libjpeg-turbo8:armhf <none> 1.3.0-0ubuntu2
1970-01-01 00:11:23 status half-installed libjpeg-turbo8:armhf 1.3.0-0ubuntu2
1970-01-01 00:11:23 status unpacked libjpeg-turbo8:armhf 1.3.0-0ubuntu2
1970-01-01 00:11:23 status unpacked libjpeg-turbo8:armhf 1.3.0-0ubuntu2
1970-01-01 00:11:23 install libkadm5clnt-mit9:armhf <none> 1.12+dfsg-2ubuntu4
1970-01-01 00:11:23 status half-installed libkadm5clnt-mit9:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:23 status unpacked libkadm5clnt-mit9:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:23 status unpacked libkadm5clnt-mit9:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 install libkdb5-7:armhf <none> 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 status half-installed libkdb5-7:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 status unpacked libkdb5-7:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 status unpacked libkdb5-7:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 install libkadm5srv-mit9:armhf <none> 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 status half-installed libkadm5srv-mit9:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 status unpacked libkadm5srv-mit9:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 status unpacked libkadm5srv-mit9:armhf 1.12+dfsg-2ubuntu4
1970-01-01 00:11:24 install liblcms2-2:armhf <none> 2.5-0ubuntu4
1970-01-01 00:11:24 status half-installed liblcms2-2:armhf 2.5-0ubuntu4
1970-01-01 00:11:24 status unpacked liblcms2-2:armhf 2.5-0ubuntu4
1970-01-01 00:11:24 status unpacked liblcms2-2:armhf 2.5-0ubuntu4
1970-01-01 00:11:25 install libmpfr4:armhf <none> 3.1.2-1
1970-01-01 00:11:25 status half-installed libmpfr4:armhf 3.1.2-1
1970-01-01 00:11:25 status unpacked libmpfr4:armhf 3.1.2-1
1970-01-01 00:11:25 status unpacked libmpfr4:armhf 3.1.2-1
1970-01-01 00:11:25 install libodbc1:armhf <none> 2.2.14p2-5ubuntu5
1970-01-01 00:11:25 status half-installed libodbc1:armhf 2.2.14p2-5ubuntu5
1970-01-01 00:11:25 status unpacked libodbc1:armhf 2.2.14p2-5ubuntu5
1970-01-01 00:11:25 status unpacked libodbc1:armhf 2.2.14p2-5ubuntu5
1970-01-01 00:11:25 install libpaper1:armhf <none> 1.1.24+nmu2ubuntu3
1970-01-01 00:11:25 status half-installed libpaper1:armhf 1.1.24+nmu2ubuntu3
1970-01-01 00:11:26 status unpacked libpaper1:armhf 1.1.24+nmu2ubuntu3
1970-01-01 00:11:26 status unpacked libpaper1:armhf 1.1.24+nmu2ubuntu3
1970-01-01 00:11:26 install libpciaccess0:armhf <none> 0.13.2-1
1970-01-01 00:11:26 status half-installed libpciaccess0:armhf 0.13.2-1
1970-01-01 00:11:26 status unpacked libpciaccess0:armhf 0.13.2-1
1970-01-01 00:11:26 status unpacked libpciaccess0:armhf 0.13.2-1
1970-01-01 00:11:26 install libpcrecpp0:armhf <none> 1:8.31-2ubuntu2
1970-01-01 00:11:26 status half-installed libpcrecpp0:armhf 1:8.31-2ubuntu2
1970-01-01 00:11:26 status unpacked libpcrecpp0:armhf 1:8.31-2ubuntu2
1970-01-01 00:11:26 status unpacked libpcrecpp0:armhf 1:8.31-2ubuntu2
1970-01-01 00:11:26 install libpython2.7:armhf <none> 2.7.6-8
1970-01-01 00:11:26 status half-installed libpython2.7:armhf 2.7.6-8
1970-01-01 00:11:27 status unpacked libpython2.7:armhf 2.7.6-8
1970-01-01 00:11:27 status unpacked libpython2.7:armhf 2.7.6-8
1970-01-01 00:11:27 install libc-dev-bin:armhf <none> 2.19-0ubuntu6
1970-01-01 00:11:27 status half-installed libc-dev-bin:armhf 2.19-0ubuntu6
1970-01-01 00:11:28 status unpacked libc-dev-bin:armhf 2.19-0ubuntu6
1970-01-01 00:11:28 status unpacked libc-dev-bin:armhf 2.19-0ubuntu6
1970-01-01 00:11:28 install linux-libc-dev:armhf <none> 3.13.0-24.46
1970-01-01 00:11:28 status half-installed linux-libc-dev:armhf 3.13.0-24.46
1970-01-01 00:11:30 status unpacked linux-libc-dev:armhf 3.13.0-24.46
1970-01-01 00:11:30 status unpacked linux-libc-dev:armhf 3.13.0-24.46
1970-01-01 00:11:30 install libc6-dev:armhf <none> 2.19-0ubuntu6
1970-01-01 00:11:30 status half-installed libc6-dev:armhf 2.19-0ubuntu6
1970-01-01 00:11:32 status unpacked libc6-dev:armhf 2.19-0ubuntu6
1970-01-01 00:11:32 status unpacked libc6-dev:armhf 2.19-0ubuntu6
